PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75005,Paris 05,Paris 05,48.8448,2.3471,4,French Restaurant,Wine Bar,Italian Restaurant,Plaza,Pub,Creperie,Coffee Shop,Hotel,Bar,Greek Restaurant
75053 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75068 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75078 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75096 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75109 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75111 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75122 CEDEX 03,Paris 03,Paris 03,48.8637,2.3615,1,Wine Bar,Vietnamese Restaurant,Bistro,Sandwich Place,Burger Joint,Cocktail Bar,Japanese Restaurant,Bookstore,Café,Art Gallery
75141 CEDEX 03,Paris 03,Paris 03,48.8637,2.3615,1,Wine Bar,Vietnamese Restaurant,Bistro,Sandwich Place,Burger Joint,Cocktail Bar,Japanese Restaurant,Bookstore,Café,Art Gallery
75144 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
